企業名,事業所名,市区郡,取引先ID
,あおのいえ,名古屋市千種区,08036764326
,焼鳥 正ちゃん,名古屋市昭和区,08036713450
,バングラ亭,江東区,08035060382
,夜はお酒 昼はコーヒー torai,江戸川区,08034601061
,デニーズ 篠崎店,江戸川区,08034372724
,タイ料理＆ストアー アロイディ,葛飾区,08034352520
,珈琲 舞姫,名古屋市千種区,08033896579
,立呑み はるちゃん,大阪市東淀川区,08033466875
,cafe et gogo,名古屋市千種区,08032845050
,尚尚簽,葛飾区,08032008550
,クィーンオブハーツ,北区,08030620586
,ORARI,東大阪市,08030309613
,Cafe Sugar,名古屋市千種区,08025897101
,低糖質パン専門店 パン ブエノ,大阪市東住吉区,08025179961
,エヌティマート,東大阪市,08024753456
,肉バルで黒毛和牛食べ放題トリコミート 京橋店,大阪市都島区,08024664197
,THE LIZARD,東大阪市,08024454487
,いか焼き屋台 信次郎,堺市堺区,08024150158
,鰻の成瀬 国分寺店,国分寺市,08022540101
,カエル ベーグル,立川市,08021162436
,シルバーロック 吉野町店,横浜市南区,08020411420
,Cafe 印,北区,08020186129
,麺坊 かどや,名古屋市熱田区,08015921971
,おとん,吹田市,08014800100
,のずえや,大阪市平野区,08014496635
大森政信,大森政信,,08014400278
,焼き鳥 まつや,江戸川区,08013269928
,個室貸切 昭和レトロ居酒屋 集っこ 王子本店,北区,08013068572
,ジェラテリア アール スイーツ&カフェ,堺市堺区,08011701313
,ますよし,葛飾区,08010342456
,THE.バル oven&grill,北区,08010189582
中谷好男,鉄板焼　神戸たん龍　生田新道店,,0783318770
,清水寿司店,東大阪市,0729886977
,寿々屋 石切神社前店,東大阪市,0729884001
,はないちもんめ,東大阪市,0729883664
,サンフラワー,東大阪市,0729883481
,マリーン,東大阪市,0729882014
,あひる,東大阪市,0729881155
,くりすたるはうす たこ焼き茶屋,東大阪市,0729881127
,マウンテン,東大阪市,0729880626
,シスコ,東大阪市,0729877438
,洋食やまかわ,東大阪市,0729876026
,吾郎寿し,東大阪市,0729875681
,カフェ&ベーカリー Ciel,東大阪市,0729874218
,おでんと鉄板料理の昭和屋,東大阪市,0729873588
,ピッコロラモ,東大阪市,0729863377
,肉の森田屋 瓢箪山店,東大阪市,0729862941
,ワインとおかず ダンラン,東大阪市,0729862328
,なりひら寿司,東大阪市,0729861770
,Toshi,東大阪市,0729861246
,Wing,東大阪市,0729860877
,ピザーラ 花園,東大阪市,0729856600
,八剣伝 瓢箪山北店,東大阪市,0729850955
,旬膳 八起,東大阪市,0729850040
,梅ヶ丘,東大阪市,0729848500
,レストラン シャロン 阪奈店,東大阪市,0729845271
,や台ずし 瓢?山駅前町,東大阪市,0729843528
,ラーメン魁力屋 東大阪中央大通店,東大阪市,0729836766
,シェ・アオタニ,東大阪市,0729827546
,むくろじ,東大阪市,0729827007
,珍味堂宇井,東大阪市,0729824913
,錦泉堂,東大阪市,0729823626
,tutu,東大阪市,0729820305
,和菓子舗 萩月 瓢箪山店,東大阪市,0729817689
,フルフル,東大阪市,0729817323
,食良品 こまつ,東大阪市,0729816010
,双葉,東大阪市,0729815769
,お好み焼 さど川,東大阪市,0729813939
,久保ひろうす店 本店,東大阪市,0729813265
,お多福堂,東大阪市,0729813221
,CoCo壱番屋 鶴舞公園店,名古屋市中区,0523319629
,CoCo壱番屋 ＪＲ蒲田駅東口店,大田区,0357132229
,鳥平,さいたま市大宮区,111
,ブック ＆ カフェ スタンド シンジョー ゲキジョー,川崎市中原区,0448638552
,ハースブラウン 与野店,さいたま市浦和区,0488142590
,バー みのむしファイブ,さいたま市浦和区,0487085511
,ナマステ・ヒマラヤ,川崎市中原区,0447556402
,カフェ&バー バモス,川崎市幸区,0442016248
,居酒屋 三場(SUNVA),神戸市兵庫区,0783357721
,鮨 居酒屋 いなせ,川崎市中原区,0449821386
,大いなるカレー らぼ,川崎市中原区,111
,ようがんや,北区,111
,菜の花,川崎市幸区,0445441187
郭敏華,Bailey&co.,松戸市,
,古川橋営業所,門真市,
株式会社nCS,リハビリデイサービスｎａｇｏｍｉ千川店,豊島区,0359862739
株式会社ユミィ,TokyoPremiumStay六本木・西麻布,港区,09048477341
信和ホテルズ株式会社,JEC日本研修センター　心斎橋,大阪市中央区,0662654040
医療法人昭令会,吉田歯科医院,横浜市西区,
社会福祉法人城西福祉会,東川口あら川保育園,川口市,
スマイル・ケア・サポート合同会社,スマイル・ケア・サポート合同会社,横浜市西区,
社会福祉法人済聖会,ブライト保育園　横浜綱島,横浜市港北区,


 
